	Likert Scale 1 for Most Unlikely to 5 for Most Likely																													
1	Age	Gender	qualification	Yearsofexperience	ROL1	ROL2	ROL3	BO1	BO2	BO3	BO4	BO1	BO6	BO7	BO8	BO9	SE1	SE2	SE3	SE4	PP1	PP2	PP3	PP4	PP5	PP6	PP7	PP8	PP9	PP10
51	1	1	2	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	4	4	3	3
52	1	2	2	1	4	4	4	3	3	2	2	2	2	4	3	2	4	4	4	2	4	4	4	4	4	4	4	4	4	4
53	1	1	2	2	4	3	3	2	1	3	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3
54	1	1	1	2	3	3	3	4	1	4	1	4	3	4	4	3	5	5	5	5	1	3	4	4	1	5	1	1	3	3
55	1	1	3	1	5	4	2	2	3	2	2	2	1	2	5	3	4	3	4	4	4	5	4	3	4	4	4	4	4	4
56	1	1	2	2	3	3	3	2	3	2	4	4	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3
57	3	2	2	3	2	2	4	3	3	4	3	3	2	2	4	2	4	2	4	2	3	4	3	3	3	4	4	3	3	3
58	2	2	3	4	5	4	5	5	4	4	3	4	2	4	4	2	4	3	3	4	3	3	2	4	3	4	4	4	4	4
59	2	2	4	3	4	4	4	4	5	5	3	2	2	4	3	3	3	4	3	4	3	3	3	3	4	3	3	3	3	3
60	2	1	3	3	4	4	4	4	2	1	2	1	1	5	4	1	1	5	4	4	2	3	1	1	2	1	1	1	5	2
61	4	1	2	4	2	4	4	2	2	2	2	3	2	4	4	2	4	3	3	3	2	4	4	2	4	4	4	4	4	4
62	2	2	3	2	5	1	4	3	4	2	4	2	2	3	2	4	4	2	4	2	4	4	4	4	3	4	5	4	4	4
63	2	1	3	4	4	4	4	5	5	5	4	5	5	5	4	4	4	2	4	2	4	2	2	2	2	5	5	4	2	2
